id_delegacia,nome_departamento,nome_seccional,delegacia,nome_seccional_circ,nome_delegacia_circ
110107,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.NOVO HORIZONTE,DEL.POL.NOVO HORIZONTE,DEL.SEC.1º CENTRO,12º D.P. PARI
110109,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.CATANDUVA,DEL.POL.PALMARES PAULISTA,DEL.SEC.1º CENTRO,12º D.P. PARI
110113,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.NOVO HORIZONTE,DEL.POL.URUPES,DEL.SEC.GUARULHOS,09º D.P. GUARULHOS
110122,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.CATANDUVA,DEL.POL.ELISIÁRIO,DEL.SEC.2º SUL,17º D.P.  DOUTOR ALDO GALIANO
110123,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.CATANDUVA,DEL.POL.NOVAIS,DEL.SEC.MOGI DAS CRUZES,DEL.POL.ITAQUAQUECETUBA
110227,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.JALES,01º D.P. JALES,DEL.SEC.GUARULHOS,08º D.P. GUARULHOS
110310,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,DEL.POL.MONTE APRAZIVEL,DEL.SEC.8º SAO MATEUS,70º D.P. VILA EMA
110315,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,DEL.POL.POLONI,DEL.SEC.6º SANTO AMARO,11º D.P. SANTO AMARO
110320,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,DEL.POL.JACI,DEL.SEC.1º CENTRO,12º D.P. PARI
110321,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,DEL.POL.JOSE BONIFACIO,DEL.SEC.7º ITAQUERA,103º D.P. COHABII/ITAQU.
110322,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,DEL.POL.NEVES PAULISTA,DEL.SEC.1º CENTRO,01º D.P. SE
110407,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,DEL.POL.GUAPIACU,DEL.SEC.3º OESTE,23º D.P.  PERDIZES
110409,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,DEL.POL.ICÉM,DEL.SEC.4º NORTE,09º D.P. - CARANDIRU
110413,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,DEL.POL.MIRASSOL,DEL.SEC.4º NORTE,09º D.P. - CARANDIRU
110417,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,DEL.POL.NOVA GRANADA,DEL.SEC.8º SAO MATEUS,55º D.P.  PARQUE S.RAFAEL
110423,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,DEL.POL.POTIRENDABA,DEL.SEC.SANTO ANDRÉ,01º D.P. SANTO ANDRÉ
110426,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,01º D.P. S.JOSE DO RIO PRETO,DEL.SEC.8º SAO MATEUS,44º D.P.  GUAIANAZES
110428,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,03º D.P. S.JOSE RIO PRETO,DEL.SEC.1º CENTRO,03º D.P. CAMPOS ELISEOS
110429,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,DEL.SEC.S.J  RIO PRETO PLANTÃO,DEL.SEC.GUARULHOS,05º D.P. GUARULHOS
